province,year,births,COD_PROV,DEN_PROV,source,validated
Cremona,1866,13830,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1866,22723,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1866,8939,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1866,31123,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1866,12995,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1866,8918,40,Forlì,TAVOLA_VI_1881,OK
Genova,1866,26695,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1866,4147,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1866,4472,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1866,11844,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1866,19505,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1866,4411,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1866,10011,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1866,8159,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1866,6148,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1866,6183,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1866,14524,83,Messina,TAVOLA_VI_1881,OK
Milano,1866,40251,15,Milano,TAVOLA_VI_1881,OK
Modena,1866,10433,36,Modena,TAVOLA_VI_1881,OK
Napoli,1866,34059,63,Napoli,TAVOLA_VI_1881,OK
Novara,1866,24614,3,Novara,TAVOLA_VI_1881,OK
Padova,1866,14307,28,Padova,TAVOLA_VI_1881,OK
Palermo,1866,22410,82,Palermo,TAVOLA_VI_1881,OK
Parma,1866,9487,34,Parma,TAVOLA_VI_1881,OK
Pavia,1866,17865,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1866,19478,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1866,8078,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1866,7886,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1866,9517,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1866,22033,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1866,7689,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1866,13089,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1866,9268,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1866,8391,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1866,20115,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1866,9460,90,Sassari,TAVOLA_VI_1881,OK
Siena,1866,7866,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1866,11760,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1866,4103,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1866,7991,67,Teramo,TAVOLA_VI_1881,OK
Torino,1866,35178,1,Torino,TAVOLA_VI_1881,OK
Trapani,1866,9780,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1866,13848,26,Treviso,TAVOLA_VI_1881,OK
Udine,1866,16667,30,Udine,TAVOLA_VI_1881,OK
Venezia,1866,11749,27,Venezia,TAVOLA_VI_1881,OK
Verona,1866,12287,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1866,13008,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1867,10256,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1867,23630,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1867,9485,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1867,9130,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1867,6616,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1867,13913,64,Avellino,TAVOLA_VI_1881,OK
Bari,1867,24131,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1867,6664,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1867,8626,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1867,12808,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1867,14264,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1867,16030,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1867,13871,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1867,8653,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1867,15172,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1867,24499,61,Caserta,TAVOLA_VI_1881,OK
Catania,1867,16636,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1867,15164,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1867,13343,69,Chieti,TAVOLA_VI_1881,OK
Como,1867,16367,13,Como,TAVOLA_VI_1881,OK
Cosenza,1867,16828,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1867,12196,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1867,19853,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1867,8114,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1867,31519,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1867,12152,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1867,7985,40,Forlì,TAVOLA_VI_1881,OK
Genova,1867,25183,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1867,4054,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1867,4162,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1867,11867,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1867,17780,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1867,4139,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1867,10484,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1867,7991,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1867,5897,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1867,6300,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1867,13715,83,Messina,TAVOLA_VI_1881,OK
Milano,1867,38612,15,Milano,TAVOLA_VI_1881,OK
Modena,1867,9837,36,Modena,TAVOLA_VI_1881,OK
Napoli,1867,33621,63,Napoli,TAVOLA_VI_1881,OK
Novara,1867,22243,3,Novara,TAVOLA_VI_1881,OK
Padova,1867,13159,28,Padova,TAVOLA_VI_1881,OK
Palermo,1867,20596,82,Palermo,TAVOLA_VI_1881,OK
Parma,1867,8804,34,Parma,TAVOLA_VI_1881,OK
Pavia,1867,16600,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1867,19005,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1867,7549,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1867,7666,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1867,9839,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1867,22013,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1867,6947,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1867,11504,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1867,8473,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1867,7963,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1867,19433,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1867,9722,90,Sassari,TAVOLA_VI_1881,OK
Siena,1867,8119,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1867,10716,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1867,4175,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1867,7859,67,Teramo,TAVOLA_VI_1881,OK
Torino,1867,32532,1,Torino,TAVOLA_VI_1881,OK
Trapani,1867,8346,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1867,12092,26,Treviso,TAVOLA_VI_1881,OK
Udine,1867,15845,30,Udine,TAVOLA_VI_1881,OK
Venezia,1867,11001,27,Venezia,TAVOLA_VI_1881,OK
Verona,1867,11464,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1867,12294,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1868,10331,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1868,23358,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1868,9284,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1868,8259,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1868,6104,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1868,13159,64,Avellino,TAVOLA_VI_1881,OK
Bari,1868,24720,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1868,6657,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1868,7282,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1868,13737,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1868,14153,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1868,17438,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1868,12444,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1868,8186,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1868,13310,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1868,22178,61,Caserta,TAVOLA_VI_1881,OK
Catania,1868,14353,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1868,13539,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1868,11587,69,Chieti,TAVOLA_VI_1881,OK
Como,1868,16095,13,Como,TAVOLA_VI_1881,OK
Cosenza,1868,15799,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1868,13453,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1868,21147,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1868,8515,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1868,30135,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1868,12326,71,Foggia,TAVOLA_VI_1881,OK
