COD_PROV,DEN_PROV,year,births,cbr
66,Aquila degli Abruzzi,1869,11770,35.82
67,Teramo,1869,8215,33.85
69,Chieti,1869,12866,38.13
70,Campobasso,1869,15117,42.72
71,Foggia,1869,12228,38.12
72,Bari delle Puglie,1869,25631,42.95
75,Lecce,1869,19140,39.67
76,Potenza,1869,20266,39.97
78,Cosenza,1869,16562,37.53
79,Catanzaro,1869,14791,36.36
80,Reggio di Calabria,1869,12357,35.39
81,Trapani,1869,8706,37.52
82,Palermo,1869,23418,41.01
83,Messina,1869,13906,34.39
84,Girgenti,1869,11327,37.06
85,Caltanissetta,1869,8777,39.52
87,Catania,1869,17492,35.97
89,Siracusa,1869,11063,38.54
90,Sassari,1869,9776,41.09
92,Cagliari,1869,13988,35.96
1,Torino,1870,33130,34.16
3,Novara,1870,21183,34.14
4,Cuneo,1870,22128,35.93
6,Alessandria,1870,24017,35.34
8,Porto Maurizio,1870,4112,32.51
10,Genova,1870,24794,34.98
13,Como,1870,16305,34.28
14,Sondrio,1870,4213,38.32
15,Milano,1870,38337,38.23
16,Bergamo,1870,14100,38.56
17,Brescia,1870,15468,33.73
18,Pavia,1870,17292,38.82
19,Cremona,1870,11500,37.75
20,Mantova,1870,10620,36.88
23,Verona,1870,12336,33.58
24,Vicenza,1870,13820,38.1
25,Belluno,1870,6764,38.6
26,Treviso,1870,13054,37.07
27,Venezia,1870,11613,34.42
28,Padova,1870,13685,37.55
29,Rovigo,1870,8273,41.23
30,Udine,1870,16039,33.33
33,Piacenza,1870,7945,35.3
34,Parma,1870,9414,35.72
35,Reggio nell'Emilia,1870,8921,37.24
36,Modena,1870,10091,37.05
37,Bologna,1870,14919,34.21
38,Ferrara,1870,8575,40.1
39,Ravenna,1870,7169,32.62
40,Forlì,1870,8525,36.42
41,Pesaro e Urbino,1870,7243,34.16
42,Ancona,1870,9266,35.4
43,Macerata,1870,7352,31.16
44,Ascoli Piceno,1870,6385,31.56
45,Massa e Carrara,1870,6479,40.57
46,Lucca,1870,10068,36.18
48,Firenze,1870,30511,40.19
49,Livorno,1870,3791,32.1
50,Pisa,1870,9561,36.27
51,Arezzo,1870,8744,37.51
52,Siena,1870,7416,36.15
53,Grosseto,1870,4104,38.64
54,Umbria,1870,18048,33.07
61,Caserta,1870,24489,35.36
62,Benevento,1870,8331,36.09
63,Napoli,1870,34083,37.76
64,Avellino,1870,14017,37.85
65,Salerno,1870,19000,35.19
66,Aquila degli Abruzzi,1870,12047,36.4
67,Teramo,1870,7956,32.57
69,Chieti,1870,12953,38.24
70,Campobasso,1870,13844,39.01
71,Foggia,1870,12916,40.14
72,Bari delle Puglie,1870,26119,43.38
75,Lecce,1870,18392,37.79
76,Potenza,1870,20123,39.55
78,Cosenza,1870,17421,39.36
79,Catanzaro,1870,16249,39.68
80,Reggio di Calabria,1870,13333,37.95
81,Trapani,1870,9236,39.43
82,Palermo,1870,23433,39.43
83,Messina,1870,14229,35.09
84,Girgenti,1870,11886,40.06
85,Caltanissetta,1870,9322,41.23
87,Catania,1870,18437,37.56
89,Siracusa,1870,12234,42.11
90,Sassari,1870,9717,40.37
92,Cagliari,1870,14428,36.89
1,Torino,1871,33788,34.73
3,Novara,1871,23673,37.88
4,Cuneo,1871,23301,37.71
6,Alessandria,1871,24944,36.5
8,Porto Maurizio,1871,4354,34.27
10,Genova,1871,25093,35.08
13,Como,1871,17650,36.95
14,Sondrio,1871,4193,37.99
15,Milano,1871,39690,39.34
16,Bergamo,1871,14780,40.19
17,Brescia,1871,16437,36.09
18,Pavia,1871,16885,37.66
19,Cremona,1871,10965,36.48
20,Mantova,1871,10393,36.09
23,Verona,1871,12680,34.52
24,Vicenza,1871,14456,39.85
25,Belluno,1871,7194,41.05
26,Treviso,1871,14665,41.64
27,Venezia,1871,12228,36.24
28,Padova,1871,14716,40.38
29,Rovigo,1871,8653,43.12
30,Udine,1871,16969,35.26
33,Piacenza,1871,7535,33.37
34,Parma,1871,9135,34.55
35,Reggio nell'Emilia,1871,9095,37.81
36,Modena,1871,9468,34.6
37,Bologna,1871,14461,32.92
38,Ferrara,1871,8803,40.87
39,Ravenna,1871,6829,30.9
40,Forlì,1871,8426,35.84
41,Pesaro e Urbino,1871,7539,35.38
42,Ancona,1871,9316,35.49
43,Macerata,1871,8481,35.8
44,Ascoli Piceno,1871,6190,30.49
45,Massa e Carrara,1871,6778,41.87
46,Lucca,1871,10716,38.18
48,Firenze,1871,32153,41.97
49,Livorno,1871,3811,32.23
50,Pisa,1871,9991,37.57
51,Arezzo,1871,8782,37.43
52,Siena,1871,7497,36.32
53,Grosseto,1871,3870,36.22
54,Umbria,1871,18299,33.3
61,Caserta,1871,24297,34.84
62,Benevento,1871,8032,34.62
63,Napoli,1871,34015,37.52
64,Avellino,1871,13493,35.77
65,Salerno,1871,18946,35.0
66,Aquila degli Abruzzi,1871,12787,38.36
67,Teramo,1871,7671,31.2
69,Chieti,1871,12316,36.23
70,Campobasso,1871,14100,39.61
71,Foggia,1871,11766,36.46
72,Bari delle Puglie,1871,24654,40.6
75,Lecce,1871,17863,36.38
76,Potenza,1871,18951,37.12
78,Cosenza,1871,17365,39.12
79,Catanzaro,1871,14495,35.16
80,Reggio di Calabria,1871,12426,35.14
81,Trapani,1871,9019,38.16
82,Palermo,1871,23510,38.07
83,Messina,1871,13551,33.33
84,Girgenti,1871,12063,41.92
85,Caltanissetta,1871,9959,43.28
87,Catania,1871,18760,37.86
89,Siracusa,1871,11969,40.73
90,Sassari,1871,9124,37.48
92,Cagliari,1871,14076,35.8
1,Torino,1872,33242,33.97
3,Novara,1872,24225,38.45
4,Cuneo,1872,22177,35.79
6,Alessandria,1872,24699,35.9
8,Porto Maurizio,1872,4199,32.91
10,Genova,1872,24807,34.46
13,Como,1872,17521,36.4
14,Sondrio,1872,4378,39.49
15,Milano,1872,39824,39.06
16,Bergamo,1872,14509,39.21
17,Brescia,1872,15961,34.92
18,Pavia,1872,17332,38.47
19,Cremona,1872,11236,37.36
20,Mantova,1872,10364,35.89
23,Verona,1872,12624,34.12
24,Vicenza,1872,14600,39.88
25,Belluno,1872,7155,40.86
26,Treviso,1872,13428,37.88
27,Venezia,1872,12076,35.59
28,Padova,1872,14977,40.73
29,Rovigo,1872,9087,44.91
30,Udine,1872,17270,35.74
33,Piacenza,1872,7713,34.15
34,Parma,1872,9233,34.89
35,Reggio nell'Emilia,1872,8422,34.95
36,Modena,1872,9623,35.1
37,Bologna,1872,14457,32.78
38,Ferrara,1872,8996,41.47
39,Ravenna,1872,7016,31.68
40,Forlì,1872,8535,36.06
41,Pesaro e Urbino,1872,7678,35.87
42,Ancona,1872,9397,35.73
43,Macerata,1872,6912,29.14
44,Ascoli Piceno,1872,6331,31.09
45,Massa e Carrara,1872,6497,39.95
46,Lucca,1872,10005,35.6
48,Firenze,1872,30918,40.23
49,Livorno,1872,3732,31.48
50,Pisa,1872,9853,36.81
51,Arezzo,1872,8467,36.02
52,Siena,1872,7699,37.31
53,Grosseto,1872,3982,37.01
54,Umbria,1872,19057,34.53
58,Roma,1872,29611,35.13
61,Caserta,1872,26777,38.3
62,Benevento,1872,9661,41.53
63,Napoli,1872,35475,38.73
64,Avellino,1872,14979,39.55
65,Salerno,1872,20720,38.21
66,Aquila degli Abruzzi,1872,12218,36.44
67,Teramo,1872,7818,31.68
69,Chieti,1872,12419,36.49
70,Campobasso,1872,15351,43.01
71,Foggia,1872,13850,42.47
72,Bari delle Puglie,1872,27600,44.91
75,Lecce,1872,20304,40.83
76,Potenza,1872,22037,43.04
78,Cosenza,1872,18217,40.97
79,Catanzaro,1872,16579,40.01
80,Reggio di Calabria,1872,13411,37.72
81,Trapani,1872,10295,42.7
82,Palermo,1872,25969,41.5
83,Messina,1872,14814,35.96
84,Girgenti,1872,13587,46.82
85,Caltanissetta,1872,10638,45.52
87,Catania,1872,20550,40.92
89,Siracusa,1872,12755,42.71
90,Sassari,1872,9671,39.44
92,Cagliari,1872,15162,38.29
1,Torino,1873,31065,31.56
3,Novara,1873,22406,35.28
4,Cuneo,1873,21668,34.87
6,Alessandria,1873,23422,33.82
8,Porto Maurizio,1873,3891,30.38
10,Genova,1873,24199,33.41
13,Como,1873,17320,35.7
14,Sondrio,1873,4024,36.13
15,Milano,1873,40205,39.03
16,Bergamo,1873,13890,37.3
17,Brescia,1873,14987,32.67
18,Pavia,1873,17306,38.23
19,Cremona,1873,10321,34.3
20,Mantova,1873,9964,34.41
23,Verona,1873,12565,33.71
24,Vicenza,1873,13441,36.38
25,Belluno,1873,6693,38.24
26,Treviso,1873,13034,36.52
27,Venezia,1873,11612,34.03
28,Padova,1873,14739,39.72
29,Rovigo,1873,8936,43.79
30,Udine,1873,16188,33.36
33,Piacenza,1873,7381,32.66
34,Parma,1873,8849,33.4
35,Reggio nell'Emilia,1873,8809,36.49
36,Modena,1873,9354,34.05
37,Bologna,1873,14226,32.12
38,Ferrara,1873,8516,38.98
39,Ravenna,1873,6902,31.09
40,Forlì,1873,8902,37.36
41,Pesaro e Urbino,1873,7621,35.44
42,Ancona,1873,9196,34.9
43,Macerata,1873,7926,33.38
44,Ascoli Piceno,1873,6333,31.01
45,Massa e Carrara,1873,5812,35.57
46,Lucca,1873,9599,34.11
48,Firenze,1873,29873,38.74
49,Livorno,1873,3670,30.87
50,Pisa,1873,9845,36.54
51,Arezzo,1873,8524,36.2
52,Siena,1873,7054,34.19
53,Grosseto,1873,3792,35.01
54,Umbria,1873,17984,32.46
58,Roma,1873,28342,33.36
61,Caserta,1873,24817,35.41
62,Benevento,1873,8622,36.96
63,Napoli,1873,33367,36.06
64,Avellino,1873,14035,36.91
65,Salerno,1873,19298,35.53
66,Aquila degli Abruzzi,1873,12570,37.27
67,Teramo,1873,8329,33.63
69,Chieti,1873,13728,40.29
70,Campobasso,1873,15242,42.6
71,Foggia,1873,13040,39.58
72,Bari delle Puglie,1873,25532,41.07
75,Lecce,1873,19212,38.16
76,Potenza,1873,20868,40.65
78,Cosenza,1873,16649,37.38
79,Catanzaro,1873,16960,40.71
80,Reggio di Calabria,1873,13497,37.76
81,Trapani,1873,10450,42.5
82,Palermo,1873,24409,38.51
83,Messina,1873,15084,36.14
84,Girgenti,1873,12998,44.41
85,Caltanissetta,1873,10637,44.82
87,Catania,1873,19725,38.75
89,Siracusa,1873,12325,40.62
90,Sassari,1873,9517,38.54
92,Cagliari,1873,15090,37.85
1,Torino,1874,32023,32.35
3,Novara,1874,22191,34.66
4,Cuneo,1874,21009,33.72
6,Alessandria,1874,22775,32.66
8,Porto Maurizio,1874,3998,31.09
10,Genova,1874,24426,33.52
13,Como,1874,17604,36.01
14,Sondrio,1874,4163,37.21
15,Milano,1874,39265,37.73
16,Bergamo,1874,13338,35.6
17,Brescia,1874,14305,31.08
18,Pavia,1874,16241,35.71
19,Cremona,1874,10072,33.46
20,Mantova,1874,9367,32.27
