"age_class","code","province","total","male","female"
"50-54","036","Modena",18119,8934,9185
"55-59","036","Modena",15390,7634,7756
"60-64","036","Modena",14532,7248,7284
"65-69","036","Modena",13334,6668,6666
"70-74","036","Modena",8984,4373,4611
"75-79","036","Modena",4902,2404,2498
"80-84","036","Modena",2218,1022,1196
"85+","036","Modena",704,287,417
"0","037","Bologna",12333,6264,6069
"1-4","037","Bologna",49365,25159,24206
"5-9","037","Bologna",68437,34620,33817
"10-14","037","Bologna",51712,26185,25527
"15-19","037","Bologna",69553,35262,34291
"20-24","037","Bologna",66494,34399,32095
"25-29","037","Bologna",54923,26782,28141
"30-34","037","Bologna",48730,23173,25557
"35-39","037","Bologna",45350,21108,24242
"40-44","037","Bologna",42404,19915,22489
"45-49","037","Bologna",37238,17848,19390
"50-54","037","Bologna",31787,15341,16446
"55-59","037","Bologna",27896,13782,14114
"60-64","037","Bologna",25097,12227,12870
"65-69","037","Bologna",22286,10794,11492
"70-74","037","Bologna",15483,7319,8164
"75-79","037","Bologna",8393,3704,4689
"80-84","037","Bologna",4159,1734,2425
"85+","037","Bologna",1306,526,780
"0","038","Ferrara",9148,4643,4505
"1-4","038","Ferrara",32550,16548,16002
"5-9","038","Ferrara",43715,22225,21490
"10-14","038","Ferrara",32204,16433,15771
"15-19","038","Ferrara",40077,20054,20023
"20-24","038","Ferrara",35099,17628,17471
"25-29","038","Ferrara",28971,14492,14479
"30-34","038","Ferrara",24378,11804,12574
"35-39","038","Ferrara",21140,9908,11232
"40-44","038","Ferrara",18902,9015,9887
"45-49","038","Ferrara",17479,8523,8956
"50-54","038","Ferrara",14338,7159,7179
"55-59","038","Ferrara",13438,6903,6535
"60-64","038","Ferrara",11176,5654,5522
"65-69","038","Ferrara",10445,5100,5345
"70-74","038","Ferrara",7284,3846,3438
"75-79","038","Ferrara",3810,1723,2087
"80-84","038","Ferrara",1824,748,1076
"85+","038","Ferrara",602,217,385
"0","039","Ravenna",4788,2419,2369
"1-4","039","Ravenna",19192,9707,9485
"5-9","039","Ravenna",26269,13371,12898
"10-14","039","Ravenna",19025,9670,9355
"15-19","039","Ravenna",26652,13699,12953
"20-24","039","Ravenna",23740,11810,11930
"25-29","039","Ravenna",20686,10541,10145
"30-34","039","Ravenna",18595,9387,9207
"35-39","039","Ravenna",17112,8571,8540
"40-44","039","Ravenna",17504,8163,9341
"45-49","039","Ravenna",15628,7755,7873
"50-54","039","Ravenna",13475,6802,6672
"55-59","039","Ravenna",12127,6122,6005
"60-64","039","Ravenna",11127,5564,5563
"65-69","039","Ravenna",10414,5150,5264
"70-74","039","Ravenna",7572,3745,3827
"75-79","039","Ravenna",4510,2188,2322
"80-84","039","Ravenna",2353,1096,1257
"85+","039","Ravenna",897,391,506
"0","040","Forlçi'",10239,5147,5092
"1-4","040","Forlçi'",37359,19041,18318
"5-9","040","Forlçi'",59310,25379,33931
"10-14","040","Forlçi'",34938,17474,17464
"15-19","040","Forlçi'",44092,21965,22127
"20-24","040","Forlçi'",37949,18553,19396
"25-29","040","Forlçi'",30660,15064,15596
"30-34","040","Forlçi'",26848,12973,13875
"35-39","040","Forlçi'",24984,11547,13437
"40-44","040","Forlçi'",23761,11147,12614
"45-49","040","Forlçi'",22282,10780,11502
"50-54","040","Forlçi'",18807,9450,9357
"55-59","040","Forlçi'",15768,9005,6763
"60-64","040","Forlçi'",14353,7173,7180
"65-69","040","Forlçi'",12817,6510,6307
"70-74","040","Forlçi'",9284,4648,4636
"75-79","040","Forlçi'",5065,2561,2504
"80-84","040","Forlçi'",2388,1159,1229
"85+","040","Forlçi'",832,380,452
"0","041","Pesaro Urbino",7384,3726,3658
"1-4","041","Pesaro Urbino",27060,13893,13167
"5-9","041","Pesaro Urbino",35416,17990,17426
"10-14","041","Pesaro Urbino",24246,12400,11846
"15-19","041","Pesaro Urbino",31025,15843,15182
"20-24","041","Pesaro Urbino",25272,12329,12943
"25-29","041","Pesaro Urbino",21003,10137,10866
"30-34","041","Pesaro Urbino",18638,8852,9786
"35-39","041","Pesaro Urbino",16551,7441,9110
"40-44","041","Pesaro Urbino",15661,7219,8442
"45-49","041","Pesaro Urbino",14878,6974,7904
"50-54","041","Pesaro Urbino",13009,6272,6737
"55-59","041","Pesaro Urbino",11393,5669,5724
"60-64","041","Pesaro Urbino",10517,5250,5267
"65-69","041","Pesaro Urbino",9517,4765,4752
"70-74","041","Pesaro Urbino",7059,3565,3494
"75-79","041","Pesaro Urbino",3546,1769,1777
"80-84","041","Pesaro Urbino",1626,791,835
"85+","041","Pesaro Urbino",523,235,288
"0","042","Ancona",8403,4288,4115
"1-4","042","Ancona",31201,15795,15406
"5-9","042","Ancona",40909,20819,20090
"10-14","042","Ancona",28762,14335,14427
"15-19","042","Ancona",37239,18255,18984
"20-24","042","Ancona",32458,15516,16942
"25-29","042","Ancona",27036,13215,13821
"30-34","042","Ancona",24207,11206,13001
"35-39","042","Ancona",21798,9787,12011
"40-44","042","Ancona",20436,9362,11074
"45-49","042","Ancona",18359,8471,9888
"50-54","042","Ancona",15399,7283,8116
"55-59","042","Ancona",13214,6315,6899
"60-64","042","Ancona",12504,6003,6501
"65-69","042","Ancona",10402,4905,5497
"70-74","042","Ancona",7808,3647,4161
"75-79","042","Ancona",4222,1949,2273
"80-84","042","Ancona",1906,856,1050
"85+","042","Ancona",582,237,345
"0","043","Macerata",6761,3498,3263
"1-4","043","Macerata",25495,12971,12524
"5-9","043","Macerata",32410,16336,16074
"10-14","043","Macerata",22707,11479,11228
"15-19","043","Macerata",28535,14193,14342
"20-24","043","Macerata",24097,11029,13068
"25-29","043","Macerata",20134,9586,10548
"30-34","043","Macerata",17465,8014,9451
"35-39","043","Macerata",15701,6659,9042
"40-44","043","Macerata",14727,6330,8397
"45-49","043","Macerata",13795,6171,7624
"50-54","043","Macerata",11763,5505,6258
"55-59","043","Macerata",10172,4746,5426
"60-64","043","Macerata",10141,4800,5341
"65-69","043","Macerata",9476,4535,4941
"70-74","043","Macerata",7341,3611,3730
"75-79","043","Macerata",4154,2009,2145
"80-84","043","Macerata",2103,1035,1068
"85+","043","Macerata",672,276,396
"0","044","Ascoli Piceno",7641,3765,3696
"1-4","044","Ascoli Piceno",27610,14286,13504
"5-9","044","Ascoli Piceno",35232,18001,17231
"10-14","044","Ascoli Piceno",23622,11994,11628
"15-19","044","Ascoli Piceno",29008,14626,14382
"20-24","044","Ascoli Piceno",24709,11288,13421
"25-29","044","Ascoli Piceno",20518,9676,10842
"30-34","044","Ascoli Piceno",18280,8068,10212
"35-39","044","Ascoli Piceno",16402,6975,9427
"40-44","044","Ascoli Piceno",14960,6289,8671
"45-49","044","Ascoli Piceno",14440,6389,8051
"50-54","044","Ascoli Piceno",12503,5856,6647
"55-59","044","Ascoli Piceno",10357,4891,5466
"60-64","044","Ascoli Piceno",10208,4901,5307
"65-69","044","Ascoli Piceno",9489,4559,4930
"70-74","044","Ascoli Piceno",7012,3453,3559
"75-79","044","Ascoli Piceno",3973,1955,2018
"80-84","044","Ascoli Piceno",2075,1036,1039
"85+","044","Ascoli Piceno",726,341,385
"0","045","Massa e Carrara",4760,2398,2362
"1-4","045","Massa e Carrara",18089,9094,8995
"5-9","045","Massa e Carrara",23457,11693,11764
"10-14","045","Massa e Carrara",16148,8045,8103
"15-19","045","Massa e Carrara",19662,9738,9924
"20-24","045","Massa e Carrara",16083,6977,9106
"25-29","045","Massa e Carrara",14731,7140,7591
"30-34","045","Massa e Carrara",12874,5954,6920
"35-39","045","Massa e Carrara",11436,5091,6345
"40-44","045","Massa e Carrara",10068,4590,5478
"45-49","045","Massa e Carrara",8681,4126,4555
"50-54","045","Massa e Carrara",7632,3709,3923
"55-59","045","Massa e Carrara",6934,3387,3547
"60-64","045","Massa e Carrara",6292,3049,3243
"65-69","045","Massa e Carrara",5515,2796,2719
"70-74","045","Massa e Carrara",3663,1828,1835
"75-79","045","Massa e Carrara",2060,1038,1022
"80-84","045","Massa e Carrara",1142,595,547
"85+","045","Massa e Carrara",395,179,216
"0","046","Lucca",6838,3538,3300
"1-4","046","Lucca",26399,13419,12980
"5-9","046","Lucca",35905,18154,17751
"10-14","046","Lucca",25005,12619,12386
"15-19","046","Lucca",32011,15948,16063
"20-24","046","Lucca",29445,12994,16451
"25-29","046","Lucca",26955,12418,14537
"30-34","046","Lucca",24135,10675,13460
"35-39","046","Lucca",20721,8784,11937
"40-44","046","Lucca",19020,7958,11062
"45-49","046","Lucca",17488,7603,9885
"50-54","046","Lucca",16180,7283,8897
"55-59","046","Lucca",14557,6786,7771
"60-64","046","Lucca",13656,6230,7426
"65-69","046","Lucca",12624,5881,6743
"70-74","046","Lucca",8848,4082,4766
"75-79","046","Lucca",5719,2537,3182
"80-84","046","Lucca",3063,1396,1667
"85+","046","Lucca",1231,571,660
"0","047","Pistoia",3848,1975,1873
"1-4","047","Pistoia",14512,7450,7062
"5-9","047","Pistoia",20904,10565,10339
"10-14","047","Pistoia",15534,7775,7759
"15-19","047","Pistoia",19734,9511,10223
"20-24","047","Pistoia",18073,8252,9821
"25-29","047","Pistoia",15818,7404,8414
"30-34","047","Pistoia",14255,6530,7725
"35-39","047","Pistoia",13086,5852,7234
"40-44","047","Pistoia",12337,5648,6689
"45-49","047","Pistoia",10817,4982,5835
"50-54","047","Pistoia",9507,4531,4976
"55-59","047","Pistoia",8937,4405,4532
"60-64","047","Pistoia",7686,3717,3969
"65-69","047","Pistoia",7397,3764,3633
"70-74","047","Pistoia",4890,2470,2420
"75-79","047","Pistoia",2929,1420,1509
"80-84","047","Pistoia",1575,751,824
"85+","047","Pistoia",531,249,282
"0","048","Firenze",13770,7013,6757
"1-4","048","Firenze",54135,27545,26590
"5-9","048","Firenze",76305,38950,37355
"10-14","048","Firenze",55583,28393,27190
"15-19","048","Firenze",77524,37970,39554
"20-24","048","Firenze",78779,38557,40222
"25-29","048","Firenze",69788,34024,35764
"30-34","048","Firenze",64959,30557,34402
"35-39","048","Firenze",59192,27204,31988
"40-44","048","Firenze",57030,26646,30384
"45-49","048","Firenze",50862,24211,26651
"50-54","048","Firenze",44001,21246,22755
"55-59","048","Firenze",39486,19387,20099
"60-64","048","Firenze",33326,16128,17198
"65-69","048","Firenze",28573,14017,14556
"70-74","048","Firenze",18708,9006,9702
"75-79","048","Firenze",10911,4978,5933
"80-84","048","Firenze",5426,2456,2970
"85+","048","Firenze",1685,721,964
"0","049","Livorno",4480,2235,2245
"1-4","049","Livorno",16570,8468,8102
"5-9","049","Livorno",22978,11698,11280
"10-14","049","Livorno",18360,9345,9015
"15-19","049","Livorno",22823,11584,11239
"20-24","049","Livorno",25858,14257,11601
"25-29","049","Livorno",20404,10292,10112
"30-34","049","Livorno",18233,8959,9274
"35-39","049","Livorno",16938,8131,8807
"40-44","049","Livorno",15562,7689,7873
"45-49","049","Livorno",13850,6905,6945
"50-54","049","Livorno",12190,6095,6095
"55-59","049","Livorno",10186,5061,5125
"60-64","049","Livorno",8904,4345,4559
"65-69","049","Livorno",7847,3698,4149
"70-74","049","Livorno",5400,2466,2934
"75-79","049","Livorno",3009,1333,1676
"80-84","049","Livorno",1594,636,958
"85+","049","Livorno",521,212,309
"0","050","Pisa",5984,3103,2881
"1-4","050","Pisa",23325,11882,11443
"5-9","050","Pisa",32639,16503,16136
"10-14","050","Pisa",23223,11922,11301
"15-19","050","Pisa",30579,15550,15029
"20-24","050","Pisa",31505,15910,15595
"25-29","050","Pisa",27197,13709,13488
"30-34","050","Pisa",24240,11587,12653
"35-39","050","Pisa",21968,10173,11795
"40-44","050","Pisa",20157,9546,10611
"45-49","050","Pisa",18911,9014,9897
"50-54","050","Pisa",17116,8440,8676
"55-59","050","Pisa",15440,7702,7738
"60-64","050","Pisa",13758,6916,6842
"65-69","050","Pisa",12119,6218,5901
"70-74","050","Pisa",8330,4127,4203
"75-79","050","Pisa",5037,2495,2542
"80-84","050","Pisa",2750,1314,1436
"85+","050","Pisa",900,431,469
"0","051","Arezzo",7364,3780,3584
"1-4","051","Arezzo",26164,13238,12926
"5-9","051","Arezzo",35709,18033,17676
"10-14","051","Arezzo",24504,12400,12104
"15-19","051","Arezzo",29768,15444,14324
"20-24","051","Arezzo",24924,12125,12799
"25-29","051","Arezzo",22193,11187,11006
"30-34","051","Arezzo",20140,9706,10434
"35-39","051","Arezzo",17855,8582,9273
"40-44","051","Arezzo",17767,8590,9177
"45-49","051","Arezzo",15882,7775,8107
"50-54","051","Arezzo",13641,6853,6788
"55-59","051","Arezzo",12139,6359,5780
"60-64","051","Arezzo",11020,5803,5217
"65-69","051","Arezzo",9475,5026,4449
"70-74","051","Arezzo",6590,3508,3082
"75-79","051","Arezzo",3826,2013,1813
"80-84","051","Arezzo",1680,870,810
"85+","051","Arezzo",471,235,236
"0","052","Siena",4990,2600,2390
"1-4","052","Siena",18706,9650,9056
"5-9","052","Siena",27137,13805,13332
"10-14","052","Siena",18623,9380,9243
"15-19","052","Siena",25174,12654,12520
"20-24","052","Siena",23205,11434,11771
"25-29","052","Siena",20454,10330,10124
"30-34","052","Siena",18468,9132,9336
"35-39","052","Siena",16613,7894,8719
"40-44","052","Siena",16600,8056,8544
"45-49","052","Siena",15638,7692,7946
"50-54","052","Siena",13128,6771,6357
"55-59","052","Siena",11423,6063,5360
"60-64","052","Siena",10257,5444,4813
"65-69","052","Siena",8921,4662,4259
"70-74","052","Siena",5951,3210,2741
"75-79","052","Siena",3470,1833,1637
"80-84","052","Siena",1437,694,743
"85+","052","Siena",385,189,196
"0","053","Grosseto",3849,1928,1921
"1-4","053","Grosseto",14404,7322,7082
"5-9","053","Grosseto",19520,9903,9617
"10-14","053","Grosseto",13596,6944,6652
"15-19","053","Grosseto",17777,9348,8429
"20-24","053","Grosseto",15604,7737,7867
"25-29","053","Grosseto",14334,7618,6716
"30-34","053","Grosseto",12878,6697,6181
"35-39","053","Grosseto",11531,5761,5770
"40-44","053","Grosseto",11321,5761,5560
"45-49","053","Grosseto",9971,5258,4713
"50-54","053","Grosseto",7732,4178,3554
"55-59","053","Grosseto",6835,3741,3094
"60-64","053","Grosseto",6141,3306,2835
"65-69","053","Grosseto",5135,2752,2383
"70-74","053","Grosseto",3432,1824,1608
"75-79","053","Grosseto",1842,948,894
"80-84","053","Grosseto",825,444,381
"85+","053","Grosseto",248,97,153
"0","054","Perugia",12819,6503,6316
"1-4","054","Perugia",46329,23618,22711
"5-9","054","Perugia",62227,31631,30596
"10-14","054","Perugia",43965,22619,21346
"15-19","054","Perugia",51420,26235,25185
"20-24","054","Perugia",45778,23094,22684
"25-29","054","Perugia",36096,17903,18193
"30-34","054","Perugia",32602,15729,16873
"35-39","054","Perugia",29843,13909,15934
"40-44","054","Perugia",28550,13524,15026
"45-49","054","Perugia",26274,12843,13431
"50-54","054","Perugia",21345,10611,10734
"55-59","054","Perugia",19769,10227,9542
"60-64","054","Perugia",19191,9840,9351
"65-69","054","Perugia",15891,8206,7685
"70-74","054","Perugia",11861,6161,5700
"75-79","054","Perugia",6769,3620,3149
"80-84","054","Perugia",3118,1659,1459
"85+","054","Perugia",983,485,498
"0","055","Terni",4046,2001,2045
"1-4","055","Terni",15156,7681,7475
"5-9","055","Terni",20056,10083,9973
"10-14","055","Terni",14264,7324,6940
"15-19","055","Terni",17411,9112,8299
"20-24","055","Terni",14676,7111,7565
"25-29","055","Terni",13026,6671,6355
"30-34","055","Terni",12100,6083,6017
"35-39","055","Terni",11225,5401,5824
"40-44","055","Terni",10743,5275,5468
"45-49","055","Terni",9898,4912,4986
"50-54","055","Terni",8104,4095,4009
"55-59","055","Terni",7320,3847,3473
"60-64","055","Terni",6580,3390,3190
"65-69","055","Terni",5866,3053,2813
"70-74","055","Terni",4249,2288,1961
"75-79","055","Terni",2564,1327,1237
"80-84","055","Terni",1255,693,562
"85+","055","Terni",418,199,219
"0","056","Viterbo",5190,2626,2564
"1-4","056","Viterbo",20121,10240,9881
"5-9","056","Viterbo",26909,13601,13308
"10-14","056","Viterbo",18468,9408,9060
"15-19","056","Viterbo",21931,11396,10535
"20-24","056","Viterbo",20077,10478,9599
"25-29","056","Viterbo",15730,8008,7722
"30-34","056","Viterbo",14632,7307,7325
"35-39","056","Viterbo",13449,6284,7165
"40-44","056","Viterbo",13558,6451,7107
"45-49","056","Viterbo",13070,6427,6643
"50-54","056","Viterbo",10145,5241,4904
"55-59","056","Viterbo",9263,4873,4390
"60-64","056","Viterbo",8953,4696,4257
"65-69","056","Viterbo",7615,3971,3644
"70-74","056","Viterbo",5928,3135,2793
"75-79","056","Viterbo",3207,1660,1547
"80-84","056","Viterbo",1354,677,677
"85+","056","Viterbo",400,195,205
"0","057","Rieti",4150,2126,2024
"1-4","057","Rieti",15040,7655,7385
"5-9","057","Rieti",20103,10315,9788
"10-14","057","Rieti",14118,7215,6903
"15-19","057","Rieti",15812,7981,7831
"20-24","057","Rieti",12022,5534,6488
"25-29","057","Rieti",10720,5307,5413
"30-34","057","Rieti",9863,4654,5209
"35-39","057","Rieti",9122,4045,5077
"40-44","057","Rieti",8969,4110,4859
"45-49","057","Rieti",8900,4290,4610
"50-54","057","Rieti",7461,3727,3734
"55-59","057","Rieti",7242,3744,3498
"60-64","057","Rieti",6580,3487,3093
"65-69","057","Rieti",5561,2968,2593
"70-74","057","Rieti",4131,2213,1918
"75-79","057","Rieti",2577,1421,1156
"80-84","057","Rieti",1203,667,536
"85+","057","Rieti",347,176,171
"0","058","Roma",37175,18810,18365
"1-4","058","Roma",129702,65723,63979
"5-9","058","Roma",158722,80649,70073
"10-14","058","Roma",112483,56656,55827
"15-19","058","Roma",150347,76005,74342
"20-24","058","Roma",175196,100356,74840
"25-29","058","Roma",138573,72130,66443
"30-34","058","Roma",125677,62586,63091
"35-39","058","Roma",108312,52000,56312
"40-44","058","Roma",97245,46711,50534
"45-49","058","Roma",81832,39603,42229
"50-54","058","Roma",65776,32012,33766
"55-59","058","Roma",56022,27113,28909
"60-64","058","Roma",47920,22632,25288
"65-69","058","Roma",39051,18941,20910
"70-74","058","Roma",27232,12716,14516
"75-79","058","Roma",15006,6759,8247
"80-84","058","Roma",6693,2813,3880
"85+","058","Roma",2313,874,1349
"0","060","Frosinone",13537,6861,6676
"1-4","060","Frosinone",45878,23463,22415
"5-9","060","Frosinone",55471,28344,27127
"10-14","060","Frosinone",37003,19056,17947
"15-19","060","Frosinone",41236,20372,20864
"20-24","060","Frosinone",32487,13992,18495
"25-29","060","Frosinone",27166,12555,14611
"30-34","060","Frosinone",24338,10387,13951
"35-39","060","Frosinone",20728,7980,12748
"40-44","060","Frosinone",20000,8005,11995
"45-49","060","Frosinone",19101,8196,10905
"50-54","060","Frosinone",15299,7118,8181
"55-59","060","Frosinone",15735,7549,8186
"60-64","060","Frosinone",14277,6787,7490
"65-69","060","Frosinone",12311,6020,6291
"70-74","060","Frosinone",9238,4445,4793
"75-79","060","Frosinone",5862,2843,3019
"80-84","060","Frosinone",2908,1416,1492
"85+","060","Frosinone",1025,501,524
"0","062","Benevento",10133,5165,4968
"1-4","062","Benevento",35309,17953,17356
"5-9","062","Benevento",41425,20937,20488
"10-14","062","Benevento",26856,13710,13146
"15-19","062","Benevento",33326,16908,16418
"20-24","062","Benevento",28413,13230,15183
"25-29","062","Benevento",23462,11190,12272
"30-34","062","Benevento",21234,9605,11629
"35-39","062","Benevento",16184,6569,9615
"40-44","062","Benevento",15441,6505,8936
"45-49","062","Benevento",15019,6567,8452
"50-54","062","Benevento",13160,6005,7155
"55-59","062","Benevento",13104,6179,6925
"60-64","062","Benevento",11234,5297,5937
"65-69","062","Benevento",10002,4726,5276
"70-74","062","Benevento",8025,3804,4221
"75-79","062","Benevento",5190,2530,2660
"80-84","062","Benevento",2590,1327,1263
"85+","062","Benevento",778,370,408
"0","063","Napoli",60909,30957,29952
"1-4","063","Napoli",204452,104577,99875
"5-9","063","Napoli",241060,122491,118569
"10-14","063","Napoli",178809,90912,87897
"15-19","063","Napoli",201807,101109,100698
"20-24","063","Napoli",182000,90492,91508
"25-29","063","Napoli",154163,74171,79992
"30-34","063","Napoli",140906,65278,75628
"35-39","063","Napoli",123607,55817,67790
"40-44","063","Napoli",117518,53246,64272
"45-49","063","Napoli",99609,45310,54299
"50-54","063","Napoli",88843,41105,47738
"55-59","063","Napoli",80125,37421,42704
"60-64","063","Napoli",57565,31283,26282
"65-69","063","Napoli",58313,27473,30840
"70-74","063","Napoli",43373,19737,23636
"75-79","063","Napoli",24645,11314,13331
"80-84","063","Napoli",11858,4952,6906
"85+","063","Napoli",4263,1630,2633
"0","064","Avellino",14031,7124,6907
"1-4","064","Avellino",47170,24128,23042
"5-9","064","Avellino",54509,27647,26862
"10-14","064","Avellino",35413,18020,17393
"15-19","064","Avellino",41597,20839,20758
"20-24","064","Avellino",34815,15780,19035
"25-29","064","Avellino",29181,14206,14975
"30-34","064","Avellino",26169,12064,14105
"35-39","064","Avellino",19504,7970,11534
"40-44","064","Avellino",18518,7613,10905
"45-49","064","Avellino",17889,7837,10052
"50-54","064","Avellino",16149,7533,8616
"55-59","064","Avellino",15756,7392,8364
"60-64","064","Avellino",13889,6429,7460
"65-69","064","Avellino",13287,6382,6905
"70-74","064","Avellino",10842,5323,5519
"75-79","064","Avellino",7138,3604,3534
"80-84","064","Avellino",3578,1884,1694
"85+","064","Avellino",1094,532,562
"0","065","Salerno",21427,10940,10487
"1-4","065","Salerno",72638,37140,35498
"5-9","065","Salerno",84770,43389,41381
"10-14","065","Salerno",54606,28162,26444
"15-19","065","Salerno",65404,33163,32241
"20-24","065","Salerno",55369,25249,30120
"25-29","065","Salerno",47858,23239,24619
"30-34","065","Salerno",41394,19284,22110
"35-39","065","Salerno",35259,15422,19837
"40-44","065","Salerno",31854,14118,17736
"45-49","065","Salerno",27315,12398,14917
"50-54","065","Salerno",25473,11884,13589
"55-59","065","Salerno",23384,11035,12349
"60-64","065","Salerno",19932,9332,10600
"65-69","065","Salerno",18558,8800,9758
"70-74","065","Salerno",15043,7020,8023
"75-79","065","Salerno",10131,4751,5380
"80-84","065","Salerno",5304,2494,2810
"85+","065","Salerno",2016,948,1068
"0","066","Aquila degli Abruzzi",9700,4990,4710
"1-4","066","Aquila degli Abruzzi",34844,17984,16860
"5-9","066","Aquila degli Abruzzi",43040,21908,21132
"10-14","066","Aquila degli Abruzzi",29779,15067,14712
"15-19","066","Aquila degli Abruzzi",31237,14967,16270
"20-24","066","Aquila degli Abruzzi",27430,12436,14994
"25-29","066","Aquila degli Abruzzi",22821,10321,12500
"30-34","066","Aquila degli Abruzzi",20634,8820,11814
"35-39","066","Aquila degli Abruzzi",17753,7144,10609
"40-44","066","Aquila degli Abruzzi",17080,6821,10259
"45-49","066","Aquila degli Abruzzi",16098,6961,9137
"50-54","066","Aquila degli Abruzzi",14977,6833,8144
"55-59","066","Aquila degli Abruzzi",14488,6808,7680
"60-64","066","Aquila degli Abruzzi",13295,6440,6855
"65-69","066","Aquila degli Abruzzi",12278,6078,6200
"70-74","066","Aquila degli Abruzzi",9541,4778,4763
"75-79","066","Aquila degli Abruzzi",6009,3028,2981
"80-84","066","Aquila degli Abruzzi",2575,1312,1263
"85+","066","Aquila degli Abruzzi",834,394,440
"0","067","Teramo",6900,3558,3342
"1-4","067","Teramo",23191,11939,11252
"5-9","067","Teramo",27551,13960,13591
"10-14","067","Teramo",18796,9626,9170
"15-19","067","Teramo",21425,10449,10976
"20-24","067","Teramo",18207,8088,10119
"25-29","067","Teramo",16489,7683,8806
"30-34","067","Teramo",14367,6301,8066
"35-39","067","Teramo",11480,4563,6917
"40-44","067","Teramo",10972,4529,6443
"45-49","067","Teramo",10914,4757,6157
"50-54","067","Teramo",9806,4451,5355
"55-59","067","Teramo",8621,4198,4423
"60-64","067","Teramo",8214,3994,4220
"65-69","067","Teramo",7254,3582,3672
"70-74","067","Teramo",5969,2981,2988
"75-79","067","Teramo",3714,1906,1808
"80-84","067","Teramo",1904,961,943
"85+","067","Teramo",627,313,314
"0","068","Pescara",5815,2957,2858
"1-4","068","Pescara",19609,10044,9565
"5-9","068","Pescara",23728,12017,11711
"10-14","068","Pescara",15845,7983,7862
"15-19","068","Pescara",18614,9226,9388
"20-24","068","Pescara",16467,7458,9009
"25-29","068","Pescara",14029,6797,7232
"30-34","068","Pescara",12583,5754,6829
"35-39","068","Pescara",9765,4036,5729
"40-44","068","Pescara",9501,3924,5577
"45-49","068","Pescara",9227,4146,5081
"50-54","068","Pescara",8309,3919,4390
"55-59","068","Pescara",7227,3421,3806
"60-64","068","Pescara",6274,3112,3162
"65-69","068","Pescara",5903,2900,3003
"70-74","068","Pescara",4936,2526,2410
"75-79","068","Pescara",3414,1732,1682
"80-84","068","Pescara",1650,876,774
"85+","068","Pescara",568,295,273
"0","069","Chieti",10779,5516,5263
"1-4","069","Chieti",35931,18390,17541
"5-9","069","Chieti",43315,22222,21093
"10-14","069","Chieti",39698,15786,23912
"15-19","069","Chieti",34689,17188,17501
"20-24","069","Chieti",30076,13612,16464
"25-29","069","Chieti",24151,10791,13360
"30-34","069","Chieti",21395,8878,12517
"35-39","069","Chieti",17877,6603,11274
"40-44","069","Chieti",17541,6813,10728
"45-49","069","Chieti",17149,7115,10034
"50-54","069","Chieti",15744,6867,8877
"55-59","069","Chieti",13796,6376,7420
"60-64","069","Chieti",13462,6246,7216
"65-69","069","Chieti",11681,5494,6187
"70-74","069","Chieti",10127,4841,5286
"75-79","069","Chieti",6319,3122,3197
"80-84","069","Chieti",3087,1545,1542
"85+","069","Chieti",1083,484,599
"0","070","Campobasso",11547,5866,5681
"1-4","070","Campobasso",37566,19024,18542
"5-9","070","Campobasso",44910,22472,22438
"10-14","070","Campobasso",29251,14853,14398
"15-19","070","Campobasso",35997,17907,18090
"20-24","070","Campobasso",31008,13559,17449
"25-29","070","Campobasso",27152,12579,14573
"30-34","070","Campobasso",23440,9997,13443
"35-39","070","Campobasso",18934,7344,11590
"40-44","070","Campobasso",17349,6779,10570
"45-49","070","Campobasso",18335,7832,10503
"50-54","070","Campobasso",16692,7448,9244
"55-59","070","Campobasso",16363,7821,8542
"60-64","070","Campobasso",14925,6574,8351
"65-69","070","Campobasso",12506,5887,6619
"70-74","070","Campobasso",10594,5007,5587
"75-79","070","Campobasso",6877,3317,3560
"80-84","070","Campobasso",3067,1409,1658
"85+","070","Campobasso",868,415,453
"0","071","Foggia",16527,8433,8094
"1-4","071","Foggia",53459,27316,26143
"5-9","071","Foggia",61717,31418,30299
"10-14","071","Foggia",42423,21706,20717
"15-19","071","Foggia",50741,25985,24756
"20-24","071","Foggia",42919,20353,22566
"25-29","071","Foggia",36995,18656,18339
"30-34","071","Foggia",33319,16317,17002
"35-39","071","Foggia",27585,12467,15118
"40-44","071","Foggia",25939,11757,14182
"45-49","071","Foggia",24549,11585,12964
"50-54","071","Foggia",21576,10435,11141
"55-59","071","Foggia",19523,9378,10145
"60-64","071","Foggia",15347,7453,7894
"65-69","071","Foggia",13487,6397,7090
"70-74","071","Foggia",10315,4837,5478
"75-79","071","Foggia",6003,2676,3327
"80-84","071","Foggia",2314,973,1341
"85+","071","Foggia",702,267,435
"0","072","Bari delle Puglie",29488,14907,14581
"1-4","072","Bari delle Puglie",95312,48439,46873
"5-9","072","Bari delle Puglie",110493,55968,54525
"10-14","072","Bari delle Puglie",82741,41649,41092
"15-19","072","Bari delle Puglie",95463,47648,47815
"20-24","072","Bari delle Puglie",81329,38294,43035
"25-29","072","Bari delle Puglie",64934,30269,34665
"30-34","072","Bari delle Puglie",59449,26772,32677
"35-39","072","Bari delle Puglie",50869,21755,29114
"40-44","072","Bari delle Puglie",48960,21492,27468
"45-49","072","Bari delle Puglie",46300,21130,25170
"50-54","072","Bari delle Puglie",40183,19387,20796
