compartimento,year,births,deaths_u5,u5mr,source
LIGURIA,1911,29255,6220,212.61,Raftakis manual
LOMBARDIA,1911,157290,44437,282.52,Raftakis manual
MARCHE,1911,35756,8081,226.0,Raftakis manual
PIEMONTE,1911,81257,17278,212.63,Raftakis manual
PUGLIE,1911,77939,25395,325.83,Raftakis manual
SARDEGNA,1911,27282,6780,248.52,Raftakis manual
SICILIA,1911,118612,38847,327.51,Raftakis manual
TOSCANA,1911,75621,16222,214.52,Raftakis manual
UMBRIA,1911,20666,4646,224.81,Raftakis manual
VENETO,1911,130491,27865,213.54,Raftakis manual
ABRUZZI E MOLISE,1912,48440,9850,203.34,Raftakis manual
BASILICATA,1912,17545,4162,237.22,Raftakis manual
CALABRIE,1912,49934,11493,230.16,Raftakis manual
CAMPANIA,1912,112733,27424,243.27,Raftakis manual
EMILIA,1912,92559,19075,206.08,Raftakis manual
LAZIO,1912,42387,7866,185.58,Raftakis manual
LIGURIA,1912,28744,4809,167.3,Raftakis manual
LOMBARDIA,1912,157098,32981,209.94,Raftakis manual
MARCHE,1912,37616,6844,181.94,Raftakis manual
PIEMONTE,1912,82200,12897,156.9,Raftakis manual
PUGLIE,1912,81364,24175,297.12,Raftakis manual
SARDEGNA,1912,27058,6189,228.73,Raftakis manual
SICILIA,1912,123946,37113,299.43,Raftakis manual
TOSCANA,1912,78918,12477,158.1,Raftakis manual
UMBRIA,1912,22671,3613,159.37,Raftakis manual
VENETO,1912,130772,23591,180.4,Raftakis manual
ABRUZZI E MOLISE,1913,47858,12280,256.59,Raftakis manual
BASILICATA,1913,17069,4827,282.79,Raftakis manual
CALABRIE,1913,51936,12626,243.11,Raftakis manual
CAMPANIA,1913,112922,25755,228.08,Raftakis manual
EMILIA,1913,91386,17828,195.08,Raftakis manual
LAZIO,1913,42206,9533,225.87,Raftakis manual
LIGURIA,1913,28977,5593,193.02,Raftakis manual
LOMBARDIA,1913,153788,39177,254.75,Raftakis manual
MARCHE,1913,35710,8359,234.08,Raftakis manual
PIEMONTE,1913,78970,14193,179.73,Raftakis manual
PUGLIE,1913,83221,23936,287.62,Raftakis manual
SARDEGNA,1913,27697,7293,263.31,Raftakis manual
SICILIA,1913,123537,37254,301.56,Raftakis manual
TOSCANA,1913,75332,14108,187.28,Raftakis manual
UMBRIA,1913,22184,5065,228.32,Raftakis manual
VENETO,1913,129689,24409,188.21,Raftakis manual
ABRUZZI E MOLISE,1914,46683,11474,245.79,Raftakis manual
BASILICATA,1914,16895,4698,278.07,Raftakis manual
CALABRIE,1914,48905,11097,226.91,Raftakis manual
CAMPANIA,1914,112683,26729,237.21,Raftakis manual
EMILIA,1914,93438,17079,182.78,Raftakis manual
LAZIO,1914,41174,9087,220.7,Raftakis manual
LIGURIA,1914,29368,4649,158.3,Raftakis manual
LOMBARDIA,1914,153577,32336,210.55,Raftakis manual
MARCHE,1914,37049,7574,204.43,Raftakis manual
PIEMONTE,1914,77609,12313,158.65,Raftakis manual
PUGLIE,1914,83007,23784,286.53,Raftakis manual
SARDEGNA,1914,26432,5854,221.47,Raftakis manual
SICILIA,1914,114015,31557,276.78,Raftakis manual
TOSCANA,1914,77529,13022,167.96,Raftakis manual
UMBRIA,1914,22621,4680,206.89,Raftakis manual
VENETO,1914,133106,23471,176.33,Raftakis manual
ABRUZZI E MOLISE,1915,47147,11813,250.56,Raftakis manual
BASILICATA,1915,17563,5144,292.89,Raftakis manual
CALABRIE,1915,50365,10706,212.57,Raftakis manual
CAMPANIA,1915,113713,28567,251.22,Raftakis manual
EMILIA,1915,90796,21947,241.72,Raftakis manual
LAZIO,1915,41535,9649,232.31,Raftakis manual
LIGURIA,1915,27540,5738,208.35,Raftakis manual
LOMBARDIA,1915,147307,38846,263.71,Raftakis manual
MARCHE,1915,36895,8491,230.14,Raftakis manual
PIEMONTE,1915,75757,15682,207.0,Raftakis manual
PUGLIE,1915,83815,27705,330.55,Raftakis manual
SARDEGNA,1915,28256,7125,252.16,Raftakis manual
SICILIA,1915,120395,34408,285.79,Raftakis manual
TOSCANA,1915,72995,14185,194.33,Raftakis manual
UMBRIA,1915,22397,4885,218.11,Raftakis manual
VENETO,1915,132707,29945,225.65,Raftakis manual
ABRUZZI E MOLISE,1916,38507,11027,286.36,Raftakis manual
BASILICATA,1916,13949,5327,381.89,Raftakis manual
CALABRIE,1916,41911,10503,250.6,Raftakis manual
CAMPANIA,1916,94300,30062,318.79,Raftakis manual
EMILIA,1916,69900,19973,285.74,Raftakis manual
LAZIO,1916,33304,9874,296.48,Raftakis manual
LIGURIA,1916,23255,5034,216.47,Raftakis manual
LOMBARDIA,1916,111975,37753,337.16,Raftakis manual
MARCHE,1916,28567,8230,288.09,Raftakis manual
PIEMONTE,1916,55599,12692,228.28,Raftakis manual
PUGLIE,1916,68962,28308,410.49,Raftakis manual
SARDEGNA,1916,24832,7866,316.77,Raftakis manual
SICILIA,1916,100423,39652,394.85,Raftakis manual
TOSCANA,1916,54768,14900,272.06,Raftakis manual
