provincia,COD_PROV,year,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
Avellino,64,1881,T,5_9,5,2.5,0.01673,0.080293,51659.8,4147.9,247929.4,2624305.2,50.8
Avellino,64,1881,T,10_14,10,2.5,0.005654,0.027874,47511.9,1324.4,234248.7,2376375.9,50.02
Avellino,64,1881,T,15_19,15,2.5,0.005873,0.028938,46187.6,1336.6,227596.3,2142127.2,46.38
Avellino,64,1881,T,20_24,20,2.5,0.006908,0.033952,44851.0,1522.8,220448.0,1914530.9,42.69
Avellino,64,1881,T,25_29,25,2.5,0.007019,0.034488,43328.2,1494.3,212905.2,1694082.9,39.1
Avellino,64,1881,T,30_34,30,2.5,0.006599,0.032461,41833.9,1358.0,205774.5,1481177.7,35.41
Avellino,64,1881,T,35_39,35,2.5,0.009159,0.044769,40475.9,1812.1,197849.4,1275403.1,31.51
Avellino,64,1881,T,40_44,40,2.5,0.008815,0.043123,38663.9,1667.3,189151.0,1077553.7,27.87
Avellino,64,1881,T,45_49,45,2.5,0.01328,0.064266,36996.5,2377.6,179038.6,888402.7,24.01
Avellino,64,1881,T,50_54,50,2.5,0.013834,0.066857,34618.9,2314.5,167308.3,709364.1,20.49
Avellino,64,1881,T,55_59,55,2.5,0.025791,0.121145,32304.4,3913.5,151738.2,542055.8,16.78
Avellino,64,1881,T,60_64,60,2.5,0.026218,0.123028,28390.9,3492.9,133222.2,390317.6,13.75
Avellino,64,1881,T,65_69,65,2.5,0.060485,0.262701,24898.0,6540.7,108138.2,257095.3,10.33
Avellino,64,1881,T,70_74,70,2.5,0.084259,0.347991,18357.3,6388.2,75816.0,148957.1,8.11
Avellino,64,1881,T,75_79,75,2.5,0.152248,0.551376,11969.1,6599.5,43346.9,73141.1,6.11
Avellino,64,1881,T,80_84,80,2.5,0.156004,0.561162,5369.6,3013.2,19315.1,29794.2,5.55
Avellino,64,1881,T,85plus,85,4.4471,0.224866,1.0,2356.4,2356.4,10479.1,10479.1,4.45
Avellino,64,1881,M,0,0,0.2992,0.332785,0.269848,100000.0,26984.8,81087.7,2918686.9,29.19
Avellino,64,1881,M,1_4,1,1.5,0.095555,0.30852,73015.2,22526.6,235744.3,2837599.2,38.86
Avellino,64,1881,M,5_9,5,2.5,0.01588,0.076369,50488.6,3855.8,242803.5,2601854.9,51.53
Avellino,64,1881,M,10_14,10,2.5,0.005231,0.02582,46632.8,1204.0,230154.0,2359051.4,50.59
Avellino,64,1881,M,15_19,15,2.5,0.00624,0.030719,45428.8,1395.5,223655.0,2128897.4,46.86
Avellino,64,1881,M,20_24,20,2.5,0.007632,0.037445,44033.2,1648.8,216044.1,1905242.4,43.27
Avellino,64,1881,M,25_29,25,2.5,0.007083,0.0348,42384.4,1475.0,208234.6,1689198.2,39.85
Avellino,64,1881,M,30_34,30,2.5,0.005624,0.02773,40909.4,1134.4,201711.2,1480963.6,36.2
Avellino,64,1881,M,35_39,35,2.5,0.008462,0.041431,39775.0,1647.9,194755.3,1279252.5,32.16
Avellino,64,1881,M,40_44,40,2.5,0.008484,0.041539,38127.1,1583.7,186676.1,1084497.2,28.44
Avellino,64,1881,M,45_49,45,2.5,0.014663,0.070725,36543.3,2584.5,176255.4,897821.1,24.57
Avellino,64,1881,M,50_54,50,2.5,0.014669,0.070752,33958.8,2402.6,163787.5,721565.7,21.25
Avellino,64,1881,M,55_59,55,2.5,0.024416,0.115057,31556.2,3630.8,148704.0,557778.2,17.68
Avellino,64,1881,M,60_64,60,2.5,0.023085,0.109127,27925.4,3047.4,132008.6,409074.2,14.65
Avellino,64,1881,M,65_69,65,2.5,0.05289,0.233567,24878.0,5810.7,109863.3,277065.6,11.14
Avellino,64,1881,M,70_74,70,2.5,0.074109,0.312624,19067.3,5960.9,80434.4,167202.3,8.77
Avellino,64,1881,M,75_79,75,2.5,0.137765,0.512362,13106.4,6715.2,48744.0,86767.9,6.62
Avellino,64,1881,M,80_84,80,2.5,0.136686,0.509371,6391.2,3255.5,23817.2,38023.9,5.95
Avellino,64,1881,M,85plus,85,4.5306,0.22072,1.0,3135.7,3135.7,14206.7,14206.7,4.53
Avellino,64,1881,F,0,0,0.3141,0.293397,0.244245,100000.0,24424.5,83247.5,2981336.4,29.81
Avellino,64,1881,F,1_4,1,1.5,0.0922,0.299717,75575.5,22651.2,245673.8,2898088.9,38.35
Avellino,64,1881,F,5_9,5,2.5,0.017626,0.084411,52924.2,4467.4,253452.6,2652415.1,50.12
Avellino,64,1881,F,10_14,10,2.5,0.006088,0.029986,48456.8,1453.0,238651.6,2398962.5,49.51
Avellino,64,1881,F,15_19,15,2.5,0.005517,0.02721,47003.8,1279.0,231821.6,2160311.0,45.96
Avellino,64,1881,F,20_24,20,2.5,0.006256,0.030797,45724.8,1408.2,225103.7,1928489.4,42.18
