COD_PROV,year,u5mr
7,1908,201.42
8,1908,195.41
9,1908,195.41
10,1908,195.41
11,1908,195.41
12,1908,257.48
13,1908,257.48
14,1908,257.48
15,1908,257.48
16,1908,257.48
17,1908,257.48
18,1908,257.48
19,1908,257.48
20,1908,257.48
23,1908,218.45
24,1908,218.45
25,1908,218.45
26,1908,218.45
27,1908,218.45
28,1908,218.45
29,1908,218.45
30,1908,218.45
33,1908,231.52
34,1908,231.52
35,1908,231.52
36,1908,231.52
37,1908,231.52
38,1908,231.52
39,1908,231.52
40,1908,231.52
41,1908,220.5
42,1908,220.5
43,1908,220.5
44,1908,220.5
45,1908,192.1
46,1908,192.1
47,1908,192.1
48,1908,192.1
49,1908,192.1
50,1908,192.1
51,1908,192.1
52,1908,192.1
53,1908,192.1
54,1908,231.71
55,1908,231.71
56,1908,242.68
57,1908,242.68
58,1908,242.68
59,1908,242.68
60,1908,242.68
61,1908,260.46
62,1908,260.46
63,1908,260.46
64,1908,260.46
65,1908,260.46
66,1908,246.6
67,1908,246.6
68,1908,246.6
69,1908,246.6
70,1908,246.6
71,1908,272.16
72,1908,272.16
73,1908,272.16
74,1908,272.16
75,1908,272.16
76,1908,307.77
77,1908,307.77
78,1908,226.49
79,1908,226.49
80,1908,226.49
81,1908,287.1
82,1908,287.1
83,1908,287.1
84,1908,287.1
85,1908,287.1
86,1908,287.1
87,1908,287.1
88,1908,287.1
89,1908,287.1
90,1908,228.71
91,1908,228.71
92,1908,228.71
1,1909,189.97
2,1909,189.97
3,1909,189.97
4,1909,189.97
5,1909,189.97
6,1909,189.97
7,1909,189.97
8,1909,231.88
9,1909,231.88
10,1909,231.88
11,1909,231.88
12,1909,272.91
13,1909,272.91
14,1909,272.91
15,1909,272.91
16,1909,272.91
17,1909,272.91
18,1909,272.91
19,1909,272.91
20,1909,272.91
23,1909,228.36
24,1909,228.36
25,1909,228.36
26,1909,228.36
27,1909,228.36
28,1909,228.36
29,1909,228.36
30,1909,228.36
33,1909,249.12
34,1909,249.12
35,1909,249.12
36,1909,249.12
37,1909,249.12
38,1909,249.12
39,1909,249.12
40,1909,249.12
41,1909,250.2
42,1909,250.2
43,1909,250.2
44,1909,250.2
45,1909,231.61
46,1909,231.61
47,1909,231.61
48,1909,231.61
49,1909,231.61
50,1909,231.61
51,1909,231.61
52,1909,231.61
53,1909,231.61
54,1909,251.16
55,1909,251.16
56,1909,250.89
57,1909,250.89
58,1909,250.89
59,1909,250.89
60,1909,250.89
61,1909,275.71
62,1909,275.71
63,1909,275.71
64,1909,275.71
65,1909,275.71
66,1909,279.21
67,1909,279.21
68,1909,279.21
69,1909,279.21
70,1909,279.21
71,1909,318.95
72,1909,318.95
73,1909,318.95
74,1909,318.95
75,1909,318.95
76,1909,266.17
77,1909,266.17
78,1909,235.48
79,1909,235.48
80,1909,235.48
81,1909,310.55
82,1909,310.55
83,1909,310.55
84,1909,310.55
85,1909,310.55
86,1909,310.55
87,1909,310.55
88,1909,310.55
89,1909,310.55
90,1909,273.44
91,1909,273.44
92,1909,273.44
1,1910,210.87
2,1910,210.87
3,1910,210.87
4,1910,210.87
5,1910,210.87
6,1910,210.87
7,1910,210.87
8,1910,180.76
9,1910,180.76
10,1910,180.76
11,1910,180.76
12,1910,244.54
13,1910,244.54
14,1910,244.54
15,1910,244.54
16,1910,244.54
17,1910,244.54
18,1910,244.54
19,1910,244.54
20,1910,244.54
23,1910,195.67
24,1910,195.67
25,1910,195.67
26,1910,195.67
27,1910,195.67
28,1910,195.67
29,1910,195.67
30,1910,195.67
33,1910,199.67
34,1910,199.67
35,1910,199.67
36,1910,199.67
37,1910,199.67
38,1910,199.67
39,1910,199.67
40,1910,199.67
41,1910,211.29
42,1910,211.29
43,1910,211.29
44,1910,211.29
45,1910,175.66
46,1910,175.66
47,1910,175.66
48,1910,175.66
49,1910,175.66
50,1910,175.66
51,1910,175.66
52,1910,175.66
53,1910,175.66
54,1910,207.75
55,1910,207.75
56,1910,249.07
57,1910,249.07
58,1910,249.07
59,1910,249.07
60,1910,249.07
61,1910,237.14
62,1910,237.14
63,1910,237.14
64,1910,237.14
65,1910,237.14
66,1910,242.62
67,1910,242.62
68,1910,242.62
69,1910,242.62
70,1910,242.62
71,1910,321.45
72,1910,321.45
73,1910,321.45
74,1910,321.45
75,1910,321.45
76,1910,286.66
77,1910,286.66
78,1910,222.16
79,1910,222.16
80,1910,222.16
81,1910,298.83
82,1910,298.83
83,1910,298.83
84,1910,298.83
85,1910,298.83
86,1910,298.83
87,1910,298.83
88,1910,298.83
89,1910,298.83
90,1910,216.32
91,1910,216.32
92,1910,216.32
1,1911,212.63
2,1911,212.63
3,1911,212.63
4,1911,212.63
5,1911,212.63
6,1911,212.63
7,1911,212.63
8,1911,212.61
9,1911,212.61
10,1911,212.61
11,1911,212.61
12,1911,282.52
13,1911,282.52
14,1911,282.52
15,1911,282.52
16,1911,282.52
17,1911,282.52
18,1911,282.52
19,1911,282.52
20,1911,282.52
23,1911,213.54
24,1911,213.54
25,1911,213.54
26,1911,213.54
27,1911,213.54
28,1911,213.54
29,1911,213.54
30,1911,213.54
33,1911,217.89
34,1911,217.89
35,1911,217.89
36,1911,217.89
37,1911,217.89
38,1911,217.89
39,1911,217.89
40,1911,217.89
41,1911,226.0
42,1911,226.0
43,1911,226.0
44,1911,226.0
45,1911,214.52
46,1911,214.52
47,1911,214.52
48,1911,214.52
49,1911,214.52
50,1911,214.52
51,1911,214.52
52,1911,214.52
53,1911,214.52
54,1911,224.81
55,1911,224.81
56,1911,232.97
57,1911,232.97
