compartimento,year,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
LOMBARDIA,1901,M,75_79,75,2.5,0.160726,0.573277,14668.7,8409.2,52320.3,75268.9,5.13
LOMBARDIA,1901,M,80_84,80,2.5,0.255947,0.780389,6259.4,4884.8,19085.2,22948.6,3.67
LOMBARDIA,1901,M,85plus,85,2.8105,0.355814,1.0,1374.6,1374.6,3863.4,3863.4,2.81
LOMBARDIA,1901,F,0,0,0.3141,0.210348,0.183826,100000.0,18382.6,87391.5,4087294.9,40.87
LOMBARDIA,1901,F,1_4,1,1.5,0.035386,0.130041,81617.4,10613.6,299935.4,3999903.3,49.01
LOMBARDIA,1901,F,5_9,5,2.5,0.006205,0.030553,71003.8,2169.4,349595.4,3699967.9,52.11
LOMBARDIA,1901,F,10_14,10,2.5,0.004519,0.022342,68834.4,1537.9,340327.2,3350372.5,48.67
LOMBARDIA,1901,F,15_19,15,2.5,0.006629,0.032604,67296.5,2194.1,330997.0,3010045.4,44.73
LOMBARDIA,1901,F,20_24,20,2.5,0.008231,0.040324,65102.3,2625.2,318948.7,2679048.4,41.15
LOMBARDIA,1901,F,25_29,25,2.5,0.00905,0.044251,62477.2,2764.6,305474.2,2360099.6,37.78
LOMBARDIA,1901,F,30_34,30,2.5,0.009284,0.045367,59712.5,2709.0,291790.2,2054625.4,34.41
LOMBARDIA,1901,F,35_39,35,2.5,0.009591,0.046832,57003.6,2669.6,278343.8,1762835.2,30.93
LOMBARDIA,1901,F,40_44,40,2.5,0.009417,0.046001,54334.0,2499.4,265421.2,1484491.4,27.32
LOMBARDIA,1901,F,45_49,45,2.5,0.01079,0.052533,51834.5,2723.0,252365.0,1219070.2,23.52
LOMBARDIA,1901,F,50_54,50,2.5,0.014916,0.071898,49111.5,3531.0,236729.9,966705.2,19.68
LOMBARDIA,1901,F,55_59,55,2.5,0.021124,0.10032,45580.5,4572.6,216470.8,729975.3,16.02
LOMBARDIA,1901,F,60_64,60,2.5,0.036846,0.16869,41007.9,6917.6,187745.2,513504.4,12.52
LOMBARDIA,1901,F,65_69,65,2.5,0.06147,0.266411,34090.2,9082.0,147746.2,325759.2,9.56
LOMBARDIA,1901,F,70_74,70,2.5,0.102767,0.408807,25008.2,10223.5,99482.3,178013.1,7.12
LOMBARDIA,1901,F,75_79,75,2.5,0.157266,0.564421,14784.7,8344.8,53061.5,78530.7,5.31
LOMBARDIA,1901,F,80_84,80,2.5,0.232991,0.736158,6439.9,4740.8,20347.6,25469.2,3.95
LOMBARDIA,1901,F,85plus,85,3.0143,0.331753,1.0,1699.1,1699.1,5121.6,5121.6,3.01
MARCHE,1901,T,0,0,0.3063,0.182327,0.161855,100000.0,16185.5,88771.6,4675902.3,46.76
MARCHE,1901,T,1_4,1,1.5,0.031551,0.116976,83814.5,9804.3,310747.4,4587130.8,54.73
MARCHE,1901,T,5_9,5,2.5,0.003558,0.017631,74010.2,1304.9,366788.9,4276383.4,57.78
MARCHE,1901,T,10_14,10,2.5,0.002404,0.011948,72705.3,868.6,361355.1,3909594.4,53.77
MARCHE,1901,T,15_19,15,2.5,0.00363,0.017988,71836.7,1292.2,355953.0,3548239.4,49.39
MARCHE,1901,T,20_24,20,2.5,0.00542,0.026738,70544.5,1886.3,348006.9,3192286.4,45.25
MARCHE,1901,T,25_29,25,2.5,0.006285,0.030937,68658.3,2124.1,337981.2,2844279.5,41.43
MARCHE,1901,T,30_34,30,2.5,0.006165,0.030358,66534.2,2019.8,327621.4,2506298.3,37.67
MARCHE,1901,T,35_39,35,2.5,0.006751,0.033193,64514.4,2141.4,317218.2,2178676.9,33.77
MARCHE,1901,T,40_44,40,2.5,0.007548,0.037041,62372.9,2310.4,306088.7,1861458.7,29.84
MARCHE,1901,T,45_49,45,2.5,0.008331,0.040805,60062.5,2450.9,294185.5,1555370.0,25.9
MARCHE,1901,T,50_54,50,2.5,0.010746,0.052324,57611.7,3014.5,280522.2,1261184.5,21.89
MARCHE,1901,T,55_59,55,2.5,0.015825,0.076115,54597.2,4155.7,262596.9,980662.3,17.96
MARCHE,1901,T,60_64,60,2.5,0.02594,0.121802,50441.5,6143.9,236848.0,718065.4,14.24
MARCHE,1901,T,65_69,65,2.5,0.044871,0.201727,44297.6,8936.0,199148.2,481217.4,10.86
MARCHE,1901,T,70_74,70,2.5,0.079681,0.332224,35361.6,11748.0,147438.2,282069.3,7.98
MARCHE,1901,T,75_79,75,2.5,0.139863,0.518142,23613.7,12235.2,87480.2,134631.1,5.7
MARCHE,1901,T,80_84,80,2.5,0.216289,0.701908,11378.4,7986.6,36925.7,47150.8,4.14
MARCHE,1901,T,85plus,85,3.0147,0.331713,1.0,3391.8,3391.8,10225.2,10225.2,3.01
MARCHE,1901,M,0,0,0.2992,0.187031,0.165356,100000.0,16535.6,88411.0,4678644.9,46.79
MARCHE,1901,M,1_4,1,1.5,0.030561,0.113568,83464.4,9478.9,310160.4,4590233.9,55.0
MARCHE,1901,M,5_9,5,2.5,0.003119,0.015472,73985.5,1144.7,367065.8,4280073.5,57.85
MARCHE,1901,M,10_14,10,2.5,0.002219,0.011034,72840.8,803.7,362194.7,3913007.6,53.72
MARCHE,1901,M,15_19,15,2.5,0.003835,0.018994,72037.1,1368.3,356764.7,3550812.9,49.29
