COD_PROV,DEN_PROV,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
51,Arezzo,T,70_74,70,2.5,0.079554,0.331783,21566.6,7155.4,89944.2,183577.1,8.51
51,Arezzo,T,75_79,75,2.5,0.135347,0.505643,14411.1,7286.9,53838.5,93632.8,6.5
51,Arezzo,T,80_84,80,2.5,0.149839,0.545028,7124.3,3882.9,25914.0,39794.3,5.59
51,Arezzo,T,85plus,85,4.2823,0.233519,1.0,3241.3,3241.3,13880.4,13880.4,4.28
51,Arezzo,M,0,0,0.2992,0.228224,0.196753,100000.0,19675.3,86210.5,3452500.9,34.53
51,Arezzo,M,1_4,1,1.5,0.079514,0.265316,80324.7,21311.4,268020.1,3366290.4,41.91
51,Arezzo,M,5_9,5,2.5,0.013444,0.065036,59013.3,3838.0,285471.3,3098270.2,52.5
51,Arezzo,M,10_14,10,2.5,0.004582,0.02265,55175.3,1249.7,272752.0,2812798.9,50.98
51,Arezzo,M,15_19,15,2.5,0.005305,0.026177,53925.5,1411.6,266098.7,2540046.9,47.1
51,Arezzo,M,20_24,20,2.5,0.00838,0.041041,52513.9,2155.2,257181.6,2273948.2,43.3
51,Arezzo,M,25_29,25,2.5,0.007734,0.037936,50358.7,1910.4,247017.5,2016766.6,40.05
51,Arezzo,M,30_34,30,2.5,0.006265,0.030841,48448.3,1494.2,238506.0,1769749.0,36.53
51,Arezzo,M,35_39,35,2.5,0.008086,0.039628,46954.1,1860.7,230118.7,1531243.0,32.61
51,Arezzo,M,40_44,40,2.5,0.008594,0.042068,45093.4,1897.0,220724.5,1301124.3,28.85
51,Arezzo,M,45_49,45,2.5,0.012051,0.058491,43196.4,2526.6,209665.5,1080399.8,25.01
51,Arezzo,M,50_54,50,2.5,0.01254,0.060796,40669.8,2472.6,197167.5,870734.3,21.41
51,Arezzo,M,55_59,55,2.5,0.023193,0.109609,38197.2,4186.8,180519.2,673566.8,17.63
51,Arezzo,M,60_64,60,2.5,0.024252,0.114327,34010.5,3888.3,160331.6,493047.5,14.5
51,Arezzo,M,65_69,65,2.5,0.057716,0.25219,30122.2,7596.5,131619.5,332716.0,11.05
51,Arezzo,M,70_74,70,2.5,0.069777,0.297065,22525.6,6691.6,95899.3,201096.5,8.93
51,Arezzo,M,75_79,75,2.5,0.128003,0.484859,15834.1,7677.3,59977.1,105197.2,6.64
51,Arezzo,M,80_84,80,2.5,0.158541,0.567697,8156.8,4630.6,29207.5,45220.1,5.54
51,Arezzo,M,85plus,85,4.5411,0.220213,1.0,3526.2,3526.2,16012.7,16012.7,4.54
51,Arezzo,F,0,0,0.3141,0.215645,0.187859,100000.0,18785.9,87114.9,3380872.4,33.81
51,Arezzo,F,1_4,1,1.5,0.076385,0.256549,81214.1,20835.4,272767.9,3293757.4,40.56
51,Arezzo,F,5_9,5,2.5,0.012722,0.061647,60378.7,3722.2,292588.1,3020989.5,50.03
