"code","province","age_class","male","female","total"
"033","Piacenza","35-39",7115,6882,13997
"033","Piacenza","40-44",6833,6366,13199
"033","Piacenza","45-49",6763,6293,13056
"033","Piacenza","50-54",6178,5772,11950
"033","Piacenza","55-59",5613,5159,10772
"033","Piacenza","60-64",4895,4501,9396
"033","Piacenza","65-69",4134,3555,7689
"033","Piacenza","70-74",2916,2527,5443
"033","Piacenza","75-79",1492,1416,2908
"033","Piacenza","80-84",656,570,1226
"033","Piacenza","85+",199,207,406
"034","Parma","0",4696,4759,9455
"034","Parma","1-4",16176,15909,32085
"034","Parma","5-9",18460,18004,36464
"034","Parma","10-14",17774,16848,34622
"034","Parma","15-19",15055,14873,29928
"034","Parma","20-24",14042,13491,27533
"034","Parma","25-29",11425,11334,22759
"034","Parma","30-34",9703,10147,19850
"034","Parma","35-39",8946,9113,18059
"034","Parma","40-44",8634,8401,17035
"034","Parma","45-49",8391,8032,16423
"034","Parma","50-54",7501,7417,14918
"034","Parma","55-59",6682,6336,13018
"034","Parma","60-64",6070,5802,11872
"034","Parma","65-69",4899,4421,9320
"034","Parma","70-74",3452,3128,6580
"034","Parma","75-79",1932,1799,3731
"034","Parma","80-84",851,772,1623
"034","Parma","85+",251,296,547
"035","Reggioemilia","0",5214,5138,10352
"035","Reggioemilia","1-4",16858,16722,33580
"035","Reggioemilia","5-9",18262,17962,36224
"035","Reggioemilia","10-14",17044,16449,33493
"035","Reggioemilia","15-19",14609,13718,28327
"035","Reggioemilia","20-24",12196,12847,25043
"035","Reggioemilia","25-29",10884,10938,21822
"035","Reggioemilia","30-34",9340,9135,18475
"035","Reggioemilia","35-39",8430,8226,16656
"035","Reggioemilia","40-44",8254,7911,16165
"035","Reggioemilia","45-49",8156,7524,15680
"035","Reggioemilia","50-54",6935,6745,13680
"035","Reggioemilia","55-59",5854,5595,11449
"035","Reggioemilia","60-64",5472,5088,10560
"035","Reggioemilia","65-69",4299,3921,8220
"035","Reggioemilia","70-74",3017,2765,5782
"035","Reggioemilia","75-79",1619,1523,3142
"035","Reggioemilia","80-84",624,564,1188
"035","Reggioemilia","85+",202,217,419
"036","Modena","0",5553,5497,11050
"036","Modena","1-4",18902,18302,37204
"036","Modena","5-9",20324,19783,40107
"036","Modena","10-14",18801,18560,37361
"036","Modena","15-19",15995,15970,31965
"036","Modena","20-24",14013,14596,28609
"036","Modena","25-29",12387,12634,25021
"036","Modena","30-34",10111,10468,20579
"036","Modena","35-39",9124,9395,18519
"036","Modena","40-44",8965,9027,17992
"036","Modena","45-49",9569,9113,18682
"036","Modena","50-54",8503,8050,16553
"036","Modena","55-59",7167,6738,13905
"036","Modena","60-64",6542,6080,12622
"036","Modena","65-69",5266,4608,9874
"036","Modena","70-74",3653,3232,6885
"036","Modena","75-79",2128,1888,4016
"036","Modena","80-84",777,748,1525
"036","Modena","85+",236,259,495
"037","Bologna","0",8043,7773,15816
