COD_PROV,DEN_PROV,year,marriages,nuptiality
81,Trapani,1872,2403,9.97
82,Palermo,1872,5119,8.18
83,Messina,1872,3244,7.87
84,Girgenti,1872,2792,9.62
85,Caltanissetta,1872,2261,9.67
87,Catania,1872,4359,8.68
89,Siracusa,1872,2429,8.13
90,Sassari,1872,1635,6.67
92,Cagliari,1872,2766,6.99
1,Torino,1873,7203,7.32
3,Novara,1873,5265,8.29
4,Cuneo,1873,4841,7.79
6,Alessandria,1873,5753,8.31
8,Porto Maurizio,1873,986,7.7
10,Genova,1873,5585,7.71
13,Como,1873,4259,8.78
14,Sondrio,1873,815,7.23
15,Milano,1873,9198,8.93
16,Bergamo,1873,2772,7.44
17,Brescia,1873,3757,8.19
18,Pavia,1873,3969,8.77
19,Cremona,1873,2549,8.47
20,Mantova,1873,2440,8.43
23,Verona,1873,2996,8.04
24,Vicenza,1873,2802,7.58
25,Belluno,1873,1511,8.63
26,Treviso,1873,2669,7.48
27,Venezia,1873,2536,7.43
28,Padova,1873,2676,7.21
29,Rovigo,1873,1722,8.44
30,Udine,1873,3880,8.0
33,Piacenza,1873,1780,7.88
34,Parma,1873,2111,7.97
35,Reggio nell'Emilia,1873,1786,7.4
36,Modena,1873,2090,7.61
37,Bologna,1873,3030,6.84
38,Ferrara,1873,1494,6.84
39,Ravenna,1873,1268,5.71
40,Forlì,1873,1262,5.3
41,Pesaro e Urbino,1873,1461,6.79
42,Ancona,1873,1709,6.49
43,Macerata,1873,1437,6.05
44,Ascoli Piceno,1873,1041,5.1
45,Massa e Carrara,1873,986,6.03
46,Lucca,1873,2119,7.53
48,Firenze,1873,5968,7.74
49,Livorno,1873,850,7.15
50,Pisa,1873,1879,6.97
51,Arezzo,1873,1457,6.19
52,Siena,1873,1325,6.42
53,Grosseto,1873,727,6.71
54,Umbria,1873,3171,5.72
58,Roma,1873,3164,3.72
61,Caserta,1873,6090,8.69
62,Benevento,1873,2108,9.04
63,Napoli,1873,7259,7.84
64,Avellino,1873,3480,9.15
