compartimento,year,sex,age_group,age_lo,age_hi,count,unit,source,notes
Abruzzi e Molise,1890,M,nato 1850-54,36,40,720,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1845-49,41,45,447,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1840-44,46,50,318,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1835-39,51,55,226,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1830-34,56,60,152,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato 1825-29,61,65,126,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,nato prima del 1825,65,,108,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Abruzzi e Molise,1890,M,ignota,,,35,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1872 e dopo,0,18,183,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1870-71,19,20,911,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1868-69,21,22,1822,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1866-67,23,24,3846,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1864-65,25,26,4572,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1862-63,27,28,3221,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1860-61,29,30,2072,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1855-59,31,35,2862,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1850-54,36,40,1441,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1845-49,41,45,953,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1840-44,46,50,660,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1835-39,51,55,408,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1830-34,56,60,311,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato 1825-29,61,65,223,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,nato prima del 1825,65,,237,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Campania,1890,M,ignota,,,68,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Puglie,1890,M,nato 1872 e dopo,0,18,63,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Puglie,1890,M,nato 1870-71,19,20,332,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Puglie,1890,M,nato 1868-69,21,22,815,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Puglie,1890,M,nato 1866-67,23,24,1949,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
