province,year,marriages,COD_PROV,DEN_PROV,source,validated
Cosenza,1867,3338,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1867,2966,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1867,4354,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1867,1151,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1867,4660,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1867,2592,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1867,848,40,Forlì,TAVOLA_VI_1881,OK
Genova,1867,4915,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1867,1268,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1867,574,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1867,3392,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1867,642,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1867,1411,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1867,1129,43,Macerata,TAVOLA_VI_1881,NOREF
Mantova,1867,1664,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1867,777,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1867,1885,83,Messina,TAVOLA_VI_1881,OK
Milano,1867,7064,15,Milano,TAVOLA_VI_1881,OK
Modena,1867,1445,36,Modena,TAVOLA_VI_1881,OK
Napoli,1867,5615,63,Napoli,TAVOLA_VI_1881,OK
Novara,1867,4448,3,Novara,TAVOLA_VI_1881,OK
Padova,1867,3174,28,Padova,TAVOLA_VI_1881,OK
Palermo,1867,3023,82,Palermo,TAVOLA_VI_1881,OK
Parma,1867,1642,34,Parma,TAVOLA_VI_1881,OK
Pavia,1867,3301,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1867,2655,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1867,678,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1867,1385,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1867,1389,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1867,799,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1867,4765,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1867,870,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1867,2271,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1867,1292,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1867,1977,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1867,3996,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1867,1371,90,Sassari,TAVOLA_VI_1881,OK
Siena,1867,1244,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1867,972,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1867,795,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1867,1576,67,Teramo,TAVOLA_VI_1881,OK
Torino,1867,6382,1,Torino,TAVOLA_VI_1881,OK
Trapani,1867,1077,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1867,2602,26,Treviso,TAVOLA_VI_1881,OK
Udine,1867,3760,30,Udine,TAVOLA_VI_1881,OK
Venezia,1867,3934,27,Venezia,TAVOLA_VI_1881,OK
Verona,1867,3018,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1867,3234,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1868,5244,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1868,1090,42,Ancona,TAVOLA_VI_1881,OK
