COD_PROV,DEN_PROV,year,emigrants,emig_rate
38,Ferrara,1920,522,1.53
39,Ravenna,1920,402,1.57
40,Forlì,1920,2631,8.06
41,Pesaro e Urbino,1920,5732,20.65
42,Ancona,1920,4765,14.34
43,Macerata,1920,4250,16.03
44,Ascoli Piceno,1920,5372,20.43
45,Massa e Carrara,1920,5346,24.06
46,Lucca,1920,9576,27.88
48,Firenze,1920,5461,5.29
49,Livorno,1920,811,5.69
50,Pisa,1920,2685,7.51
51,Arezzo,1920,1560,5.28
52,Siena,1920,308,1.25
53,Grosseto,1920,461,2.85
54,Umbria,1920,5439,7.46
58,Roma,1920,11109,7.5
61,Caserta,1920,29436,36.18
62,Benevento,1920,7723,29.19
63,Napoli,1920,18913,13.09
64,Avellino,1920,14101,35.24
65,Salerno,1920,12606,21.91
66,Aquila degli Abruzzi,1920,15777,40.09
67,Teramo,1920,9995,31.36
69,Chieti,1920,12566,33.65
70,Campobasso,1920,11457,33.73
71,Foggia,1920,9298,20.39
72,Bari delle Puglie,1920,28940,30.78
75,Lecce,1920,2123,2.45
76,Potenza,1920,12324,26.37
78,Cosenza,1920,21996,44.98
79,Catanzaro,1920,15926,31.51
80,Reggio di Calabria,1920,13744,28.86
81,Trapani,1920,12226,30.55
82,Palermo,1920,25658,30.27
83,Messina,1920,15608,27.4
84,Girgenti,1920,15257,37.46
85,Caltanissetta,1920,9993,26.43
87,Catania,1920,14699,17.07
89,Siracusa,1920,15277,29.32
90,Sassari,1920,3314,10.02
92,Cagliari,1920,3307,6.3
1,Torino,1921,10344,8.27
3,Novara,1921,9470,13.09
4,Cuneo,1921,6856,11.03
6,Alessandria,1921,3721,4.78
8,Porto Maurizio,1921,410,2.73
10,Genova,1921,3751,3.2
13,Como,1921,7509,11.94
14,Sondrio,1921,2477,18.93
15,Milano,1921,3158,1.66
16,Bergamo,1921,5282,9.53
17,Brescia,1921,1051,1.62
18,Pavia,1921,1939,3.95
19,Cremona,1921,251,0.7
20,Mantova,1921,383,1.02
23,Verona,1921,722,1.4
24,Vicenza,1921,1768,3.24
25,Belluno,1921,2180,9.56
26,Treviso,1921,4130,7.54
27,Venezia,1921,339,0.65
28,Padova,1921,1010,1.72
29,Rovigo,1921,206,0.72
30,Udine,1921,15649,21.81
